Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
GA-233,,59.8,122,8.5,51.3
GA-235,,64.8,124,8.2,56.6
GA-237,,61,120,7.1,53.9
GA-239,,65.7,125,8.6,57.1
GA-241,,53.8,121,6.2,47.6
GA-243,,66,125,8.8,57.2
GA-245,,63.2,122,8,55.2
GA-247,,59.9,121,7.6,52.3
GA-249,,64.3,125,8.3,56
GA-251,,64.1,123,7.8,56.3
GA-253,,68.5,126,8.9,59.6
GA-255,,61.8,122,8.5,53.3
GA-257,,56.4,114,5.1,51.3
GA-259,,64.6,125,8.2,56.4
GA-261,,65.5,126,8.8,56.7
GA-263,,62.5,122,7.9,54.6
GA-265,,60,120,6.6,53.4
GA-267,,65.9,123,7.7,58.2
GA-269,,63.3,122,8.1,55.2
GA-271,,65.8,125,8.3,57.5
GA-273,,66.3,125,8.9,57.4
GA-275,,67.7,126,8.5,59.2
GA-277,,66.8,126,9,57.8
GA-279,,65.5,123,7.8,57.7
GA-281,,53.2,122,6.8,46.4
GA-283,,64.4,122,7.5,56.9
GA-285,,61.1,122,7.7,53.4
GA-287,,66.5,125,9.3,57.2
GA-289,,63.9,123,8,55.9
GA-291,,53.3,122,6.7,46.6
GA-293,,62.6,124,8.4,54.2
GA-295,,57,120,7,50
GA-297,,58.8,121,6.7,52.1
GA-299,,67.3,124,7.9,59.4
GA-301,,61,120,6.9,54.1
GA-303,,62.5,120,6.8,55.7
GA-305,,66.1,124,7.4,58.7
GA-307,,64.7,125,8.3,56.4
GA-309,,65.4,125,8,57.4
GA-311,,54.7,119,6,48.7
GA-313,,57.3,121,7,50.3
GA-315,,65.9,125,8.9,57
GA-317,,59.5,120,6.6,52.9
GA-319,,63.4,121,7.5,55.9
GA-321,,66.9,126,9.2,57.7
ID-001,,44.4,93,2.1,42.3
ID-003,,35.3,96,2.5,32.8
ID-005,,37.2,103,3.9,33.3
ID-007,,32.4,106,5,27.4
ID-009,,36.4,63,0.2,36.2
ID-011,,37,103,4,33
ID-013,,33.5,95,3.2,30.3
ID-015,,35.1,93,2.6,32.5
ID-017,,33.9,60,0.1,33.8
ID-019,,34,106,4.4,29.6
ID-021,,31.8,69,0.7,31.1
ID-023,,33.2,99,3.6,29.6
ID-025,,32.6,100,3.5,29.1
ID-027,,44.9,84,1.5,43.4
ID-029,,33.5,103,4,29.5
ID-031,,38.1,98,3.1,35
ID-033,,31.1,103,3.9,27.2
ID-035,,35.3,79,1.2,34.1
ID-037,,29.6,94,3,26.6
ID-039,,39.5,105,3.5,36
ID-041,,36.1,101,4.2,31.9
ID-043,,31.3,107,4.7,26.6
ID-045,,41.2,87,1.8,39.4
ID-047,,40.5,97,3.1,37.4
ID-049,,33.4,85,1.6,31.8
ID-051,,35.2,101,4.1,31.1
ID-053,,41.9,106,3.8,38.1
ID-055,,36,67,0.2,35.8
ID-057,,37.7,68,0.6,37.1
ID-059,,30.2,84,1.9,28.3
ID-061,,36.6,67,0.3,36.3
ID-063,,38.5,97,3.5,35
ID-065,,34.7,107,4.9,29.8
ID-067,,39.1,101,3.9,35.2
ID-069,,40.1,67,0.5,39.6
ID-071,,37.9,102,3.7,34.2
ID-073,,39.2,92,2.2,37
ID-075,,43.5,78,1.3,42.2
ID-077,,37.8,101,3.3,34.5
ID-079,,33,66,0.4,32.6
ID-081,,31.8,111,5,26.8
ID-083,,39.6,90,2.4,37.2
ID-085,,30.9,93,2.7,28.2
ID-087,,40.4,97,2.6,37.8
IL-001,,44.9,104,4.5,40.4
IL-003,,52,114,5.6,46.4
IL-005,,46.7,102,3.9,42.8
IL-007,,39.5,109,5.1,34.4
IL-009,,44.8,103,4.5,40.3
IL-011,,40.9,104,4.4,36.5
IL-013,,46.6,101,4.2,42.4
IL-015,,40.5,111,5.7,34.8
IL-017,,44.7,103,4.2,40.5
IL-019,,43.1,103,4.2,38.9
IL-021,,45,102,4.1,40.9
IL-023,,45.2,101,4,41.2
IL-025,,47.5,108,4.7,42.8
IL-027,,47.8,105,4.4,43.4
IL-029,,44.5,103,3.9,40.6
IL-031,,41.1,107,4.8,36.3
IL-033,,46.9,107,4.7,42.2
IL-035,,45.4,102,4.1,41.3
IL-037,,39.2,100,4,35.2
IL-039,,43.8,106,4.9,38.9
IL-041,,44.2,105,4.4,39.8
IL-043,,40.6,107,4.7,35.9
IL-045,,44.2,100,4,40.2
IL-047,,48.8,111,4.9,43.9
IL-049,,46.2,104,4.4,41.8
IL-051,,46.3,101,4,42.3
IL-053,,42.6,106,4.6,38
IL-055,,49.4,109,4.8,44.6
IL-057,,43.4,102,4.1,39.3
IL-059,,50.9,112,5.3,45.6
IL-061,,46.1,101,4,42.1
IL-063,,41.1,102,4.1,37
IL-065,,49.5,111,5,44.5
IL-067,,44,104,4.6,39.4
IL-069,,51.5,110,5.5,46
IL-071,,42.7,102,4.4,38.3
IL-073,,41.3,106,4.7,36.6
IL-075,,42.7,108,4.8,37.9
IL-077,,49.7,106,4.8,44.9
IL-079,,46.9,109,4.8,42.1
IL-081,,48.6,108,4.7,43.9
IL-083,,47,103,4.4,42.6
IL-085,,39.6,110,5.5,34.1
IL-087,,51.4,112,5.8,45.6
IL-089,,39.6,104,4.2,35.4
IL-091,,41.6,104,4.3,37.3
IL-093,,40.5,102,4,36.5
IL-095,,41.6,103,4.1,37.5
IL-097,,39.9,109,5.2,34.7
IL-099,,40.9,102,4.1,36.8
IL-101,,48,110,4.9,43.1
IL-103,,40.2,107,4.7,35.5
IL-105,,41.7,103,4.3,37.4
IL-107,,44.5,108,4.8,39.7
IL-109,,43.1,101,4.1,39
IL-111,,39.3,110,5.1,34.2
IL-113,,43,106,5.1,37.9
IL-115,,44.6,106,4.7,39.9
IL-117,,45.9,100,4.1,41.8
IL-119,,47.9,106,4.7,43.2
IL-121,,47.4,107,4.3,43.1
IL-123,,42,104,4.4,37.6
IL-125,,44.5,106,4.4,40.1
IL-127,,52.7,113,6.3,46.4
IL-129,,44.6,105,4.4,40.2
IL-131,,41.7,101,4.4,37.3
IL-133,,50.1,111,5.6,44.5
IL-135,,45.4,98,3.7,41.7
IL-137,,45,102,4.3,40.7
IL-139,,44.5,103,4.2,40.3
IL-141,,40.1,110,5.3,34.8
IL-143,,43,105,4.8,38.2
IL-145,,49,107,4.8,44.2
IL-147,,43.7,105,4.5,39.2
IL-149,,45.6,101,4.3,41.3
IL-151,,51.7,110,5.8,45.9
IL-153,,52.3,114,5.9,46.4
IL-155,,41.6,103,4.1,37.5
IL-157,,49.5,109,5.1,44.4
IL-159,,47.9,111,4.8,43.1
IL-161,,41.7,107,5,36.7
IL-163,,49,109,5,44
IL-165,,50.6,111,5.3,45.3
IL-167,,44.8,104,4.3,40.5
IL-169,,44.4,102,4.4,40
IL-171,,45.5,101,4.2,41.3
IL-173,,45.1,102,4,41.1
IL-175,,41.6,104,4.5,37.1
IL-177,,39.4,110,5.5,33.9
IL-179,,43.8,107,5,38.8
IL-181,,50.9,112,5.4,45.5
IL-183,,43.2,103,4,39.2
